id	text
P25D_ChemSen	In Sensation & Perception, the chemical senses are made up of two major factions.
P25D_ChemSen	The chemical senses are gustatory (taste).
P25D_ChemSen	The chemical senses are olfactory (smell).
P25D_ChemSen	Both of these senses function by recognizing chemical molecules.
P25D_ChemSen	Sight does not function by recognizing chemical molecules.
P25D_ChemSen	Touch does not function by recognizing chemical molecules.
P25D_ChemSen	Gustatory sensation tells us about safety of food.
P25D_ChemSen	Gustatory sensation tells us about quality of food.
P25D_ChemSen	Olfactory sensation provides us with info about our environment.
P25D_ChemSen	Olfactory sensation influences who we find attractive.
P25D_ChemSen	Olfactory sensation influences what we eat.
P25D_ChemSen	Olfactory sensation influences who we associate with.
P25D_ChemSen	Our papillae (taste buds) have taste receptor cells.
P25D_ChemSen	Taste receptor cells pick up on tastants (chemical substances in food or drinks).
P25D_ChemSen	This sensation is then transferred to our thalamus.
P25D_ChemSen	This sensation is then transferred to our primary gustatory cortex.
P25D_ChemSen	These signals then go on to influence our decision making.
P25D_ChemSen	These signals then go on to influence our preferences based on the sensory input (food).
P25D_ChemSen	After smelling something, our olfactory bulb processes these scents.
P25D_ChemSen	After smelling something, our olfactory cortex processes these scents.
P25D_ChemSen	Our olfactory bulb and olfactory cortex are closely connected to other brain areas involved with sensory processing.
P18D_GeoTime	Geologic time is using rocks to describe earth's history.
P18D_GeoTime	It uses fossils to describe earth's history.
P18D_GeoTime	It uses rock textures to describe earth's history.
P18D_GeoTime	It uses rock characteristics to describe earth's history.
P18D_GeoTime	It uses magnetic properties to describe earth's history.
P18D_GeoTime	It uses stratigraphy (layers) to describe earth's history.
P18D_GeoTime	Stratigraphy includes layers.
P18D_GeoTime	Methods include the Law of Superposition.
P18D_GeoTime	Older layers are below newer layers unless there's a good reason why not.
P18D_GeoTime	Methods include the principle of original horizontality.
P18D_GeoTime	Because of gravity, layers will usually be horizontal.
P18D_GeoTime	There are exceptions to layers being horizontal.
P18D_GeoTime	Methods include the principle of lateral continuity.
P18D_GeoTime	Layers will keep going in all directions until they thin out.
P18D_GeoTime	Layers will keep going in all directions until they get cut off by another layer.
P18D_GeoTime	Layers will keep going in all directions until they get cut off by formation geometry.
P18D_GeoTime	Layers will keep going in all directions until they get cut off by environment geometry.
P18D_GeoTime	Methods include the cross-cutting relationships principle.
P18D_GeoTime	If a rock cuts across layers, it will be newer than the layers it passes through.
P18D_GeoTime	If magma rises to the surface, it will be newer than the layers it passes through.
P18D_GeoTime	The shot of a gun must be younger than the material the bullet passes through.
P18D_GeoTime	Methods include the law of included fragments.
P18D_GeoTime	Fragments of one rock in another rock must be older.
P18D_GeoTime	Fragments of one rock must be deposited during the other's formation.
P18D_GeoTime	Methods include uncomformity relationships.
P18D_GeoTime	Uncomformity relationships are geologic record gaps formed through erosion.
P18D_GeoTime	Uncomformity relationships are geologic record gaps formed through lack of activity.
P18D_GeoTime	Methods include the principle of faunal succession.
P18D_GeoTime	Rock layers have certain fossils unique to that layer in comparison to layers above it.
P18D_GeoTime	Rock layers have certain fossils unique to that layer in comparison to layers below it.
P18D_GeoTime	The order of strata is predictable.
P18D_GeoTime	The order of expected fossils is predictable.
P18D_GeoTime	There are many geological divisions.
P18D_GeoTime	There are four eons.
P18D_GeoTime	Eons are the largest time span.
P18D_GeoTime	There are ten eras.
P18D_GeoTime	The oldest eon has no eras.
P18D_GeoTime	There are 22 periods.
P18D_GeoTime	There are 37 epochs.
P18D_GeoTime	There are 11 subepochs.
P18D_GeoTime	There is an informal 38th epoch.
P18D_GeoTime	There are 96 ages.
P18D_GeoTime	There are five informal ages.
P18D_GeoTime	A separate, undefined timescale unit uses chrons.
P18D_GeoTime	Any time before the Cambrian Explosion is defined as Precambrian.
P18D_GeoTime	The Cambrian Explosion is where lots of diverse life evolved.
P18D_GeoTime	Any time after the Cambrian Explosion is defined as Phanerozoic.
P18D_GeoTime	Life began forming in the Archean era.
P16B_IsoDate	Isotopic dating is also known as radiometric dating.
P16B_IsoDate	Isotopic dating is used for determining the age of materials.
P16B_IsoDate	Such as rocks.
P16B_IsoDate	Such as fossils.
P16B_IsoDate	Isotopic dating determines the age of materials by measuring isotopes.
P16B_IsoDate	Isotopes are chemical elements.
P16B_IsoDate	Isotopes differ in the number of protons.
P16B_IsoDate	Isotopes differ in mass.
P16B_IsoDate	Time elapsed for fossils can be calculated by measuring the ratio of radioactive isotopes to stable isotopes in a sample.
P16B_IsoDate	Time elapsed for rocks can be calculated by measuring the ratio of radioactive isotopes to stable isotopes in a sample.
P16B_IsoDate	Time elapsed for fossils can be calculated by knowing the radioactive isotope's half-life.
P16B_IsoDate	Time elapsed for rocks can be calculated by knowing the radioactive isotope's half-life.
P16B_IsoDate	Common dating methods include carbon-14 dating.
P16B_IsoDate	Common dating methods include uranium-lead dating.
P16B_IsoDate	Common dating methods include potassium-argon dating.
P16B_IsoDate	Common dating methods include rubidium-strontium dating.
P16B_IsoDate	Carbon-14 is used for organic materials of up to 50,000 years old.
P16B_IsoDate	Carbon-14 dating relies on the decay of carbon-14 to nitrogen-14.
P16B_IsoDate	Uranium-lead is used for rocks up to billions of years old.
P16B_IsoDate	Uranium-lead dating relies on the decay of uranium isotopes to lead.
P16B_IsoDate	Potassium-argon is used for volcanic materials.
P16B_IsoDate	Potassium-argon dating relies on the decay of potassium-40 to argon-40.
P16B_IsoDate	Rubidium-strontium is used for geological samples.
P16B_IsoDate	Rubidium-strontium dating relies on the decay from rubidium-87 to strontium-87.
P16B_IsoDate	In order to determine whether a material is recent or ancient, many factors are considered.
P16B_IsoDate	The material type can provide clues about its age.
P16B_IsoDate	Such as wood.
P16B_IsoDate	Such as bone.
P16B_IsoDate	Stratigraphy is also important.
